name,line
Hitori Gotou, I look... I look so cool! I'm already a total rocker chick! I look like a real somebody! The people can't look away! Someone's just gotta talk to me now! I'm gonna be all over this year's culture festival!
Students," So you could see the corgi's butt... Do we move rooms next period? Science Room B. Hey, wanna karaoke after this? Great idea! You sure? Wonder what I should sing..."
Hitori Gotou, Huh?
Hitori Gotou," Did I go overboard hyping myself up last night? But I'm putting out such powerful rocker chick vibes... D-Did I end up making myself unapproachable?! No, no, no! I'm having a mental breakdown!"
s Friends," Wow, look at that!"
Hitori Gotou, Thump
s Friends, At what?
Hitori Gotou," I-If they're laughing at me now, it won't just be a mental breakdown, it'll be mental annihilation!"
s Friends," Aw, it's so cute, I've gotta laugh!"
Ikuyo Kita, Guitar?
s Friends," My day's immediately better! Right, Kita-chan? Kita-chan?"
Ikuyo Kita," Sorry, sorry! What was it?"
Hitori Gotou," Look, I know. You can't put the onus on others and expect perfect results. This is a gathering place for people just as lonely as me. I bet that guy's separated from—"
s Daughter, Papa!
s Wife, Sorry we're late!
Salaryman," Hey, no problem. Now, let's grab dinner! What would you like?"
Hitori Gotou," They're the perfect freakin' family! Please forgive my presumptuous empathizing... Ah. I broke 30,000 subscribers. Hey, that's right. The online world is where I belong. Sorta makes me not wanna go back to school..."
Nijika Ijichi," Guitar! That's a guitar, right? Do you play?! Hello?"
Hitori Gotou, I-I haven't talked to anyone in so long... my voice!
Nijika Ijichi," Hey, sorry to ambush you. I'm Nijika Ijichi, second-year at Shimo-Kitazawa High."
Hitori Gotou, Hitori Goto. Shuka High. First-year.
Nijika Ijichi," So tell me, Hitori-chan..."
Hitori Gotou," Right to first names, are we?!"
Nijika Ijichi, How good are you at guitar?
Hitori Gotou," Pretty decent, I guess..."
Nijika Ijichi," Really?! Say, I'm in kind of a fix here... If you can't do it, that's okay, but... It's really okay, but I'm in a real fix..."
Hitori Gotou, There's nothing okay about her!
Nijika Ijichi," Okay, I'll come right out with it! Please, will you play second guitar for my band for today?!"
Hitori Gotou, Band?
Nijika Ijichi," We've got a concert coming up, and our guitarist just split! The song's not too hard! You'll pick it up right away!"
Hitori Gotou, A concert?! Right now?!
Nijika Ijichi, Please! Please!
Hitori Gotou," Um, err..."
Nijika Ijichi, Thanks! Let's head to the club!
Hitori Gotou, I haven't even said anything yet!
Hitori Gotou, I got dragged along.
Nijika Ijichi," Do you come to Shimo-Kita a lot, Hitori-chan?"
Hitori Gotou," Oh, well..."
Hitori Gotou," Right, like I've got the courage to visit a fashion town for trendy people..."
Nijika Ijichi, We're almost to the club.
Hitori Gotou," Nijika-chan's fashionable, too. She's got the real rocker-chick vibe. Meanwhile, I'm in a potato-quality tracksuit with a real bear of a set of bags under my eyes, and a back as arched as a cat... Wait, do I also smell like mold? I spend so much time in the closet... No, I smell like mothballs. Meanwhile, Nijika-chan smells great! She smells just the way a high school girl should!"
Nijika Ijichi," Oh, am I walking too fast?"
Hitori Gotou, N-No...
Nijika Ijichi, The club we're gonna play at is called Starry. My big sister's the manager there.
Hitori Gotou," Playing at a club... That sounds weirdly legit. Wait, what's my heart doing?"
Nijika Ijichi," And so... I've been working there part-time... Hitori-chan, are you actually pretty athletic?"
Hitori Gotou," N-No, but I'm always the last one standing in dodgeball for some reason."
Nijika Ijichi, I... I see.
Hitori Gotou," Me? Playing in a club? No, don't back down now! Remember your daydreams of performing at the culture festival! And your first solo show at Zepp Super Arena!"
Crowd, Hitori! Hitori! Hitori!
Hitori Gotou, I'm the girl who sold out the Budokan...
Nijika Ijichi, What?
Hitori Gotou," Oh, nothing!"
Hitori Gotou," Please, don't let her think she made a mistake choosing me!"
Nijika Ijichi, I might've made a mistake choosing her...
Nijika Ijichi, We're here! This is the place!
Hitori Gotou, Th-The dark lands?
Nijika Ijichi, Good morning!
Hitori Gotou, My first club... It's so dark... So stuffy... I-It's so soothing!
Nijika Ijichi," You okay, Hitori-chan?"
Hitori Gotou, I'm home!
Nijika Ijichi," It is not! That's the band that's playing today. They might be a little older than us? After they're done, we'll rehearse too."
Hitori Gotou," I thought bands would be intimidating, but they're all indoorsy, shy introverts! They're just like me!"
Nijika Ijichi, That there's the PA.
san, Good morning.
Hitori Gotou, Please forgive my arrogance!
Nijika Ijichi, What's wrong now?!
Ryo Yamada, You're finally back.
Nijika Ijichi, Ryo! This is Hitori Goto. Hitori-chan! I met her in the park by miraculous happenstance! She's a guitarist!
Ryo Yamada, Oh?
Hitori Gotou, Scary! Is she glaring at me?
Nijika Ijichi, This is Ryo Yamada. She plays bass.
Hitori Gotou, I-I'm Hitori Goto! I'm so very sorry!
Nijika Ijichi, Hang on! Y-You're okay! Ryo's just not the expressive type. Feel free to call her weird! She likes it!
Ryo Yamada," I don't, actually."
Hitori Gotou, Seemed like she did...
Ryo Yamada," By the way, about the manager... She told you to practice until it was time, but instead you snuck out of the club, so she got so mad she went out shopping."
Nijika Ijichi," N-No way! Let's be in the studio before she comes back! You too, Hitori-chan! C'mon!"
Hitori Gotou, R-Right!
Hitori Gotou, Real life is scary. But I feel like there's some fun stuff coming up!
Nijika Ijichi, Here's today's set list and score.
Hitori Gotou, Wh-Where are the other band members?
Nijika Ijichi, This is everyone! We'll be doing all instrumentals this time.
Hitori Gotou," Right. I can handle this song. Though without any vocals, the playing's gotta be all that much better... But I'm supposedly good at guitar. I can do this. I think I can do this!"
Ryo Yamada, Gorilla?
Hitori Gotou," Maybe they'll be blown away by my playing! I mean, I get pretty good... pretty decent reactions online. I even have 30,000 subscribers!"
Nijika Ijichi," Let's take it right from the top. It's your first time, so we'll run through slow, then we can speed it up as you get used to it. Okay, let's go!"
Hitori Gotou," Yeah, let's do this!"
Nijika Ijichi, You suck!
Hitori Gotou," H-How can I suck? I'm guitarhero! I've got 30,000 subscribers!"
Nijika Ijichi," Ah, I'm kidding! Well, not totally kidding, but... Ah, I'm sorry!"
Guitar Man," Allow me to explain! In a band, it's super important to be in sync with your fellow live performers! But Hitori has social anxiety and can't make eye contact, and she'll be inclined to rush ahead of the others! She might be an awesome solo player, but when in a band, she's sub-water-flea level, the worst there is!"
Hitori Gotou, Hello. I'm Plankton Goto.
Nijika Ijichi, She sounds like an unfunny comedian!
Hitori Gotou," And thus, Hitori Goto turned to dust, and never picked up a guitar again."
Nijika Ijichi," Wait, wait, wait, wait, wait! Come out, please! The show's about to start!"
Hitori Gotou, I c-c-can't do it!
Nijika Ijichi, It's not your fault! We just came together today! It's not like I'm very good either.
Ryo Yamada, I'm very good.
Nijika Ijichi," Just look at me, okay! Stay here in reality!"
Hitori Gotou," It isn't like I could do the intro or anything... I-I could offer up my life to put on a harakiri show! Th-They'll at least remember the name of the band, right? Sorry I sucked!"
Nijika Ijichi, That's a little too rock!
Ryo Yamada," It's okay. If they boo you, I'll give them a bonk with my bass. Bonk."
Hitori Gotou, Does a bass make such a fancy noise?
Nijika Ijichi," I mean, bloodshed is pretty rock."
Ryo Yamada, It's rock.
Hitori Gotou," You can't justify everything with ""rock""!"
Nijika Ijichi," Besides, it'll probably just be my friends who come to watch us play!"
Ryo Yamada," And Nijika is my only friend, so..."
Nijika Ijichi, Normal high school girls don't know good music from bad.
Hitori Gotou, That kind of take could get you in trouble on the internet.
Nijika Ijichi, Okay? So just chill!
Hitori Gotou, I d-dunno...
Ryo Yamada, I know good music from bad.
Nijika Ijichi," Well, you're not normal. Hey, that wasn't a compliment."
Hitori Gotou, Sorry.
Nijika Ijichi, But...
Ryo Yamada, We can't force her.
Nijika Ijichi, You're right. Sorry to push you so hard.
Hitori Gotou," No, actually... I r-really was happy you reached out to me. I've wanted to be in a band for so long... B-But I couldn't get the people together... So I just upload covers to the internet instead."
Ryo Yamada, What do you usually play?
Hitori Gotou," M-Mostly songs by popular bands from the last few years, so I could play them right away once the band got together..."
Nijika Ijichi, That's awesome!
Hitori Gotou, It's not. It's the reason I'm the way I am now. Being in a band with other people was a pipe dream after all.
Nijika Ijichi," Covering all popular songs? She sounds like guitarhero-san! Have you heard of her? She's probably about our age, I think..."
Hitori Gotou, guitarhero... M-Me?!
Nijika Ijichi, I'll send you a link if you haven't! She's super awesome! You should hear her!
Hitori Gotou, Awe... some?
Ryo Yamada," She comes up in my recommendations a lot, so I've seen her too. She really is excellent."
Nijika Ijichi, Right?! Though her naming sense is a bit cringy...
Hitori Gotou, It is?!
Nijika Ijichi, I follow her with notifications on! I'd love to play with her some day!
Hitori Gotou," You just did, actually..."
Nijika Ijichi," Look, what I'm getting at here is that even awesome, popular people are out there playing guitar, lots and lots of them, in places we're not even watching. You should watch her later! I think you'll get what I mean if you watch the videos."
Hitori Gotou, I always figured real-life people didn't care about me at all...
Nijika Ijichi," You can't give up on playing in a band just because it didn't work out today! It's possible it's our problem, anyway..."
Ryo Yamada, Our problem?
Nijika Ijichi, Hitori-chan?
Hitori Gotou," But someone this nice has been watching me all this time, and actually spoke to me... It's the kind of miracle most people never experience! I can't let it go to waste!"
Ryo Yamada, She stood up.
Hitori Gotou, I... I'm...
Nijika Ijichi, D-Do you want to perform after all? Hitori-chan?
Hitori Gotou," I know all that, rationally... But I'm still too scared... There's no way I can play in front of an audience..."
Ryo Yamada," If you're scared, you could play from in here."
Hitori Gotou, I-It's the same environment that I play in all the time!
Nijika Ijichi, Where exactly do you live?
Hitori Gotou," How you feelin' tonight, Shimo-Kita?!"
Ryo Yamada, She's suddenly more outgoing.
Nijika Ijichi," By the way, how do you want us to introduce you? Hitori-chan? Should we use your real name?"
Hitori Gotou, I'd... I'd rather not...
Nijika Ijichi," Any nicknames, then?"
Hitori Gotou," In middle school, they called me Hey and ""You there""..."
Nijika Ijichi, I don't think those are nicknames!
Hitori Gotou, I never knew anyone well enough to get nicknames from them!
Ryo Yamada, Hitori... Hitoribocchi (all alone)... How about Bocchi-chan?
Nijika Ijichi, Another tactless comment!
Hitori Gotou, I'm B-B-Bocchi!
Ryo Yamada, She likes it?
Hitori Gotou, It's just my first ever nickname...
Nijika Ijichi, This is making me teary-eyed.
Hitori Gotou," Oh, you haven't told me your band name yet."
Ryo Yamada, It's Kessoku Band.
Hitori Gotou," Kessoku Band... Isn't that the word for ""zip tie""?"
Ryo Yamada, It's brilliant.
Nijika Ijichi, It's the worst pun! We're totally changing it!
Ryo Yamada, Why? It's cute.
Hitori Gotou, Y-Yes.
Nijika Ijichi," Band name aside, it's time to play! Don't worry. The key is to have fun, even if you suck! Your feelings really come out in your playing, see?"
Hitori Gotou, R-Right...
Nijika Ijichi, We can always work on the skill part next time.
Ryo Yamada, Yeah.
Hitori Gotou, Next... time...
Nijika Ijichi," Okay, let's go!"
Ryo Yamada, Right.
Hitori Gotou, They're okay with there being a next time!
Nijika Ijichi," Nice to meet you! We're Kessoku Band! We'll play a bunch of songs you probably know, so please enjoy!"
Seika Ijichi, Who's that?
Hitori Gotou," I hate that I can't play as well as I usually do, but... playing in a band with other people is so much fun! I've never really shone before today... And I still don't! This might actually be a low point for me!"
Nijika Ijichi," Boy, I screwed up!"
Ryo Yamada," Your intro bombed, too."
Hitori Gotou, E-Excuse me! B-B-B...
Nijika Ijichi, What?
Hitori Gotou, B-B-B-B-B...
Nijika Ijichi," Okay, you're freaking me out!"
Hitori Gotou," B-Before our next performance, I'm gonna get brave enough to say hello to my classmates!"
Ryo Yamada, What a dramatic declaration. Such growth...
Nijika Ijichi," Okay, I get it. Sure! Then let's have a Bocchi-chan-welcome-party- slash-concert-post-mortem!"
Hitori Gotou," Actually, I'm pretty exhausted from all this social interaction, so I'm gonna go."
Ryo Yamada, Sorry. I'm sleepy.
Hitori Gotou, P-Pardon me!
Nijika Ijichi," There's no ""ties"" in this band at all!"
Hitori Gotou," I'm gonna get over my social anxiety and bring out my full guitarhero powers! For Nijika-chan, Ryo-san, and Kessoku Band! S-Sorry! Sorry!"
Hitori Gotou, Twenty more minutes... Twenty more minutes... Twenty more minutes... Twenty more minutes... Twenty more minutes...
Hitori Gotou," Yesterday, Nijika-chan said..."
Nijika Ijichi," Hi there! Thanks for everything today! You seriously saved our butts, Bocchi-chan Let's have a talk about our future as a band! Meetup at Starry tomorrow, okay?"
Hitori Gotou," The joy of getting LOINE messages from someone who wasn't a relative got me this far, but... If I walk in there looking like the hick I am, they'll all look at me like I don't belong there... I made it in last time because I was with Nijika-chan, but... I wonder if anyone's there? I wish I had someone to go in with. Five minutes. I'll wait five minutes, then go in. No, ten... Fifteen. I'll totally go in after fifteen."
Nijika Ijichi, What's she doing? Bo—
Ryo Yamada, Wait. I wanna watch a little longer.
Nijika Ijichi, Could you please stop enjoying this?
Nijika Ijichi," Okay! I hereby declare the first Kessoku Band members' meeting... open! Round of applause! Clappy clappy clap clap clap! Now, let's see... Oh, wait. We barely know each other, so I dunno what to talk about!"
Hitori Gotou, She just admitted it!
Ryo Yamada, I brought this for just such an occasion.
Nijika Ijichi, Nice one!
Hitori Gotou, I don't think I like the looks of this...
Nijika Ijichi, There! What'll she roll? What'll she roll?
Ryo Yamada, Dun-dun-dun-dun-dun...
Nijika Ijichi, Talk about School TAS for short!
Ryo Yamada, Proceed.
Hitori Gotou," Um... Wait, don't you both go to the same school..."
Nijika Ijichi," Yeah, Shima High!"
Ryo Yamada, We chose it 'cause it's close to home.
Hitori Gotou," Oh, so you live in Shimo-Kitazawa..."
Nijika Ijichi," Huh? Bocchi-chan, don't you go to Shuka High? Shouldn't you live around here too?"
Hitori Gotou," No, I live out-of-prefecture. Two-hour commute each way."
Ryo Yamada, Two hours?!
Nijika Ijichi, Why?
Hitori Gotou, I wanted a high school where nobody knew my past.
Nijika Ijichi," Okay, enough TAS!"
Hitori Gotou," S-Sorry... I spend most of my time at school alone, so I don't have any f-fun stories to contribute..."
Nijika Ijichi," Hey, it's okay! Ryo doesn't have many friends either."
Ryo Yamada," Yeah, just Nijika."
Hitori Gotou, Tha-thump. Ryo-san is just like me...
Nijika Ijichi," On days off, she does urban exploration and visits second-hand clothing shops..."
Hitori Gotou," No, she's not... Ryo-san likes being alone! Someone with social anxiety could never enter a clothing shop on her own! The gap between the lonely and the loner is too deep and vast to ever be traversed! I nearly fell into the trap."
Nijika Ijichi," Bocchi-chan, let's enjoy the conversation!"
Nijika Ijichi," Next up, we'll talk about our favorite music! For short..."
Ryo Yamada, TAFM!
Hitori Gotou, T-TAFM...
Nijika Ijichi," I like Japanese punk, like mellow core."
Ryo Yamada," I like techno kayo, and lately I've been checking the Saudi Arabian charts—"
Nijika Ijichi," True stuff only, please!"
Ryo Yamada, That is true.
Nijika Ijichi, Bocchi-chan?
Hitori Gotou," Oh, um... I like any songs that don't trigger my seishun complex."
Nijika Ijichi, Seishun complex?
Guitar man," Allow me to explain! Songs that trigger Hitori's seishun complex are glitter-coated upbeat songs that include words like summer, ""blue sea,"" fireworks, ""puppy love,"" and other things irrelevant to her personal school experience!"
Hitori Gotou, Such words plunge me into a deep melancholy.
Nijika Ijichi," Hey, Bocchi-chan?"
Guitar man," By the same token, you love bands that write about the bleakness of their high school years, right?"
Nijika Ijichi, Hey...
Hitori Gotou," Oh, yeah! But sometimes I find out a band I love was super popular in school, and they suddenly feel like strangers to me..."
Nijika Ijichi," Hey, please! Come back to our planet, please!"
Hitori Gotou, Rock resonates as the music of the perpetual underdog. Is it really rock if it's sung by life's winners?
Nijika Ijichi," I'm trying to establish some ties, here!"
Ryo Yamada, Since we're named after zip ties.
Nijika Ijichi," Um... Our first concert was instrumentals only, but I'd like to have vocals next time."
Hitori Gotou," Oh, do you?"
Nijika Ijichi," The guitarist who ran off was gonna be our singer, but... Where'd she even go, anyway?"
Hitori Gotou," The runaway guitarist... Maybe she's socially anxious like me. No, there's no way! If you're really socially anxious, you can't even run away!"
Nijika Ijichi," We've gotta find a new vocalist. I can't sing for squat, myself. Bocchi-chan, can you— Yeah... Figured."
Hitori Gotou, Um... Wh-What about Ryo-san?
Ryo Yamada," If I were to serve as frontman, I'd overwhelm the band and crush it."
Nijika Ijichi, Where do you get that wellspring of confidence?
Hitori Gotou, I'm so jealous. I'd like a little of that confidence for myself...
Nijika Ijichi," I know! Let's find a vocalist and write a song! Ryo can write the music, and if you've got off-limits words, Bocchi-chan, you should write the lyrics!"
Hitori Gotou, Me?!
Nijika Ijichi," Well? Great idea, huh?"
Hitori Gotou, The nine years of lunch breaks I spent in school libraries... Was it all in preparation for this moment?
Ryo Yamada," So, what will you do, Nijika?"
Nijika Ijichi," Go! Next, talk about quotas!"
Ryo Yamada," Just shamelessly dodged that one, eh?"
Hitori Gotou, Um... What are quotas?
Nijika Ijichi," The concert we did yesterday is called a ""booked concert."" It's where the club assigns the band a ticket quota to make sure enough people come. Your quota is ten tickets! Anything sold over the quota gets split between the club and the band... But if they can't bring in enough to meet the quota, the band has to pay the rest out of pocket."
Ryo Yamada," So until you get popular, it's a money pit."
Hitori Gotou, That's very concise!
Nijika Ijichi," A bunch of my friends came to yesterday's concert, so we managed to meet our quota, but..."
Ryo Yamada," After that performance, they likely won't be back."
Nijika Ijichi," You said it! And Ryo's got no friends, so she'll be no help... Bocchi-chan, do you— Oh, sorry! Forget what I said. Just please lose the dead fish stare!"
Hitori Gotou," I've got plenty of imaginary friends, but..."
Guitar man," You rock, Hitori-chan!"
Microphone man, Living national treasure!
Nijika Ijichi," Anyway, since we'll need tens of thousands of yen before our next concert, let's get jobs to cover the quota and equipment!"
Hitori Gotou, Okay. Jobs?!
Nijika Ijichi, That's the loudest I've ever heard you.
Hitori Gotou, No. I don't want to work. Too scary! Society is too scary!
Nijika Ijichi, A piggy bank?
Hitori Gotou," M-My mom was saving up for my wedding... But you can have it. Just... Please, no job..."
Nijika Ijichi, Don't make us the bad guys here!
Ryo Yamada," Thanks, we'll take good care of—"
Nijika Ijichi, We're not taking it! We can't take money that means that much to you!
Hitori Gotou, But...
Hitori Gotou, I don't wanna work! Because... W-Welcome... Sh-Should I warm... up? It'd totally be like that... And then that...
Imaginary Prosecutor," For the crime of creeping out the customers, we seek the death penalty!"
Imaginary Judge," Okay, here comes the ruling... Death!"
Hitori Gotou, And then that!
Nijika Ijichi," ...cchi-chan. Bocchi-chan. Bocchi-chan! You weren't listening, were you?"
Hitori Gotou, S-Sorry! Wh-What were you saying?
Ryo Yamada, You should work here with us.
Hitori Gotou, Here? What?!
Nijika Ijichi, You won't have to be scared if you're with me and Ryo!
Ryo Yamada, It's a homey and harmonious place to work.
Nijika Ijichi," We can serve drinks, and clean, and see all kinds of bands!"
Hitori Gotou, Don't wanna work... Don't wanna work...
Nijika Ijichi, Well? What do you think?
Hitori Gotou," Say no, girl! Say no! You have to say no!"
Hitori Gotou, I'll dwu mwy bwest...
Nijika Ijichi, Really? Thanks so much!
Hitori Gotou," Sorry, girl..."
Nijika Ijichi, The job'll be more fun if we're all together!
Hitori Gotou, It wouldn't be social anxiety if we had the courage to say no.
Nijika Ijichi," I'll manage the band's funds, then."
Hitori Gotou, Um... Wouldn't it be better to have Ryo-san do that?
Nijika Ijichi," What's that supposed to mean?! Listen, Bocchi-chan. Believe it or not, Ryo's a very irresponsible spender. Her family's rich and she gets a huge allowance, but she blows it all on instruments, so she's constantly broke!"
Ryo Yamada, Blush.
Nijika Ijichi," What part of that did you take as a compliment? Anyway, let's work hard so we can play live again soon! Then we'll make our major debut in high school!"
Nijika Ijichi, We start work next week! Come straight here after school!
Ryo Yamada, Bocchi. Bye-bye.
Hitori Gotou, R-Right...
Hitori Gotou," And that first day of work is tomorrow. I've been in here for thirty minutes now. I'm bound to catch a cold, right? I'm sorry... I'm sorry... I'll work hard at everything except the job."
Futari Gotou, Mom! Sis is drowning!
Hitori Gotou, Catch a cold! Catch a cold! Catch a cold! Catch a cold! Catch a cold!
Hitori Gotou, Curse this good health of mine... Then I'll just have to fake— Nijika-chan?
Nijika Ijichi," Morning! First day of work, right? I know you're nervous, but we'll be there for you! Let's work hard together!"
Hitori Gotou, No fair being so nice while I'm trying to blow off work...
Hitori Gotou," You've made me realize the foolish error of my ways. For making an honest woman out of me, you have my boundless gratitude."
Nijika Ijichi, What is she talking about?
Hitori Gotou," I'm here. Do it, Bocchi! Do it, Bocchi! Do it, Bocchi! Do it, Bocchi!"
Seika Ijichi, Tickets don't go on sale until five o'clock. We're still getting ready here.
Hitori Gotou, She works here?! She thinks I'm up to no good... I've got to clear this up!
Hitori Gotou, C-C-C-C-C-Calm down...
Seika Ijichi, You're the one who needs to calm down.
Seika Ijichi, So you're the new part-timer? You should've just said so.
Hitori Gotou, S-S-S-S-Sorry!
Seika Ijichi, I'm the manager here. Nice to meet you.
Hitori Gotou, V-Very nice to meet you...
Hitori Gotou," The manager's scary. I can't handle people like her. Nijika-chan, come here quick!"
Seika Ijichi," Hey, you're the guitarist who played in the box. Wasn't it... Mango Kamen?"
Hitori Gotou," A new nickname? I like you, Manager!"
Hitori Gotou, I-I'm Mango Kamen!
Nijika Ijichi," That is not her name! Don't go giving her weird nicknames, Sis!"
Hitori Gotou, Sis?! You're Nijika-chan's sister?
Nijika Ijichi," I told you before. When you first came to Starry, remember? The club we're gonna play at is called Starry. My big sister's the manager there. Actually, our family lives in the apartments above it."
Hitori Gotou, My heart was pounding so loud that I didn't hear her.
Hitori Gotou, R-R-R-Really?
Nijika Ijichi," That means you don't have to be so nervous. Right, Sis?"
Seika Ijichi," Call me ""Manager"" here. And keep our work and private relationships separate."
Nijika Ijichi, Don't scare her like that!
Nijika Ijichi," Okay, let's clear the tables first. When that's done, we'll wipe them all down... Huh? Where's Bocchi-chan?"
Hitori Gotou," Sorry. I needed a breather in a dark, cramped place."
Nijika Ijichi, You need a breather already?!
Nijika Ijichi," Here, Bocchi-chan, come over and learn the drinks. Tonic water comes out of here, and beer comes out of this dispenser. The cocktails are on the shelf behind..."
Hitori Gotou, I-I'll never remember it all! Too fast! I just... mummummmmm... I'll have to infuse the knowledge into me through song!
Nijika Ijichi, Where did that come from?!
Hitori Gotou, Cocktails are in the rightmost shelf!
Nijika Ijichi, You're scaring me!
Hitori Gotou, Tequila! Vodka! Kahlua! Rum!
san, They seem fun.
Nijika Ijichi," I'm glad you're learning the drinks, but why don't you set the guitar down? Hey, are you listening? You're not, are you?! You're seriously scaring me! P-Please! Come back to us! Hitori-chan! Hitori-chan!"
Seika Ijichi," Weird... She seemed kind of crappy at the concert, but..."
san, She's good.
Seika Ijichi," Nijika's trying so hard to stop her, I don't think she realizes it... But I recognize that sound from somewhere."
Seika Ijichi, Get to work!
Nijika Ijichi, Why me?!
Nijika Ijichi," For drink service, just pour the drinks they order and hand them over."
Hitori Gotou, R-Right...
Nijika Ijichi, They can pay 500 yen on top of the ticket price to get a drink ticket.
Hitori Gotou, 500 yen per drink? And why a drink ticket system?
Nijika Ijichi," Stop staring like it's totally alien to you. Clubs like this are actually considered restaurants. I don't know all the details, but apparently it's super hard to get a business license to run just a concert venue."
Hitori Gotou, I... I see!
Nijika Ijichi, So we offer drinks and operate like a restaurant. Are you listening?
Hitori Gotou, W-Working at a restaurant is advanced stuff! I can't believe I cleared that bar so soon! Is this... personal growth?!
Nijika Ijichi," Hey, customers already! We're about to be busy, Bocchi-chan!"
Hitori Gotou," What? Wait... Customer service already?! What do I say?! Thank you for your royal parentage... That's not it! J-Just give me a practice run, please! N-No, wait! Stop it!"
Hitori Gotou, Thanks for coming!
Nijika Ijichi, She closed up!
s Customer," Excuse me! One cola, please!"
Nijika Ijichi," Coming! Bocchi-chan, cola!"
Hitori Gotou, Coming up!
s Customer, I'll have a ginger ale.
Hitori Gotou, Coming up!
Nijika Ijichi," Bocchi-chan, show some respect for the customers!"
Hitori Gotou, B-B-But I'm not ready!
Ryo Yamada, We're losing the club's inherent darkness.
Nijika Ijichi, One oolong and one highball!
s Customer, Where's the bathroom?
Nijika Ijichi," Down the hall to your right, door on the left!"
Hitori Gotou, I experienced no personal growth whatsoever.
Nijika Ijichi," Bocchi-chan, look!"
s Customer, Here they are!
Alexandism Member," Hey, there! We're Alexandism! Our second album goes on sale today, so we're back to doing concerts, but we hope you all bought it! Thanks! We tried to make every single song better than our first album, and if you haven't bought it yet, we're about to play some of those songs, so if you like them, please buy the album! And there's something I want to tell you guys first. The crowd rocked pretty hard at our last concert! So after it was over, a guy came up and offered up his card. And we were so nervous. ""Is this time for our major debut?"" we thought. But it would look pretty lame to let it show, so after a beat we just said, Hello, welcome. Welcome? Habits can be scary, huh? The words that came out of my mouth were the words I've said a million times at my part time job. According to the guy who gave us his card, he wanted to listen to the band on after us today, Tidaman, but we don't get along with them, and we really wanna outshine them, so we hope you listen to Alexandism too! Now, let me introduce the band! Always eating curry before a concert, with his own way of doing things... on bass, Matsuda! And the normal guy who always has our backs... on drums, Rei! He's got so many effects pedals he barely has room on stage to stand... on guitar, Koichi! And on guitar and vocals, without much to recommend him... me! Tsuyoshi! Let's do this!"
Nijika Ijichi," They're pretty good, y'know? It's a good time to relax. Once the performances start, we'll have time to kill."
Hitori Gotou, Right...
Ryo Yamada, Good work.
Nijika Ijichi, Good work! Don't you have to sell tickets?
Ryo Yamada," Manager stepped in for me. All of today's bands are really popular, so she told me to watch and learn."
